command line args: main.py --algo i2a --env RegularMiniPacmanNoFrameskip-v0 --num-processes 64 --port 5555 --log-dir /tmp/gym/RegularCopyModel --num-steps 10 --vis-interval 10 --entropy-coef 0.05 --num-stack 1 --use-copy-model
Updates 0, num timesteps 640, FPS 104, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60944, value loss 2.92146, policy loss 1.94581, distill_loss -0.00107, time 0.10199 min
Updates 10, num timesteps 7040, FPS 620, mean/median reward 11.4/10.0, min/max reward 0.0/32.0, entropy 1.59620, value loss 1.59775, policy loss 0.96218, distill_loss -0.06805, time 0.18919 min
Updates 20, num timesteps 13440, FPS 723, mean/median reward 8.6/7.0, min/max reward 0.0/21.0, entropy 1.33226, value loss 6.05862, policy loss -0.14514, distill_loss 0.05640, time 0.30959 min
Updates 30, num timesteps 19840, FPS 665, mean/median reward 8.2/6.0, min/max reward 0.0/27.0, entropy 1.50087, value loss 3.91628, policy loss -0.32888, distill_loss 0.03650, time 0.49708 min
Updates 40, num timesteps 26240, FPS 715, mean/median reward 9.0/8.0, min/max reward 0.0/20.0, entropy 1.29507, value loss 6.17105, policy loss -0.32188, distill_loss 0.29291, time 0.61119 min
Updates 50, num timesteps 32640, FPS 754, mean/median reward 10.6/8.0, min/max reward 0.0/29.0, entropy 1.45302, value loss 2.43020, policy loss 0.03944, distill_loss 0.65095, time 0.72126 min
Updates 60, num timesteps 39040, FPS 802, mean/median reward 9.4/7.0, min/max reward 0.0/30.0, entropy 1.33905, value loss 5.02258, policy loss -0.42069, distill_loss -0.24836, time 0.81101 min
Updates 70, num timesteps 45440, FPS 830, mean/median reward 9.2/7.0, min/max reward 0.0/33.0, entropy 1.08113, value loss 8.17506, policy loss -0.61268, distill_loss -0.31300, time 0.91145 min
Updates 80, num timesteps 51840, FPS 842, mean/median reward 8.2/5.0, min/max reward 0.0/34.0, entropy 0.67499, value loss 16.84251, policy loss -0.29740, distill_loss -1.93998, time 1.02548 min
Updates 90, num timesteps 58240, FPS 854, mean/median reward 11.3/8.0, min/max reward 0.0/30.0, entropy 1.10237, value loss 3.31416, policy loss 0.54215, distill_loss -0.23090, time 1.13605 min
Updates 100, num timesteps 64640, FPS 860, mean/median reward 8.9/7.0, min/max reward 0.0/24.0, entropy 1.06876, value loss 1.90609, policy loss 0.21397, distill_loss -0.05317, time 1.25146 min
Updates 110, num timesteps 71040, FPS 868, mean/median reward 9.6/8.0, min/max reward 0.0/29.0, entropy 0.78211, value loss 5.00654, policy loss -0.05868, distill_loss -0.49521, time 1.36305 min
Updates 120, num timesteps 77440, FPS 895, mean/median reward 10.5/9.0, min/max reward 0.0/33.0, entropy 0.99020, value loss 5.12819, policy loss -0.36900, distill_loss -1.43785, time 1.44151 min
Updates 130, num timesteps 83840, FPS 908, mean/median reward 11.4/7.0, min/max reward 0.0/38.0, entropy 1.11023, value loss 5.25703, policy loss -0.01128, distill_loss -2.54275, time 1.53726 min
Updates 140, num timesteps 90240, FPS 913, mean/median reward 11.5/8.0, min/max reward 0.0/51.0, entropy 1.35689, value loss 6.16031, policy loss 0.45219, distill_loss -1.90432, time 1.64708 min
