command line args: main.py --algo i2a --env HuntMiniPacmanNoFrameskip-v0 --num-processes 128 --port 5555 --log-dir /tmp/gym/Hunt_AfterBugfix --num-steps 10 --entropy-coef 0.02 --distill-coef 0.3 --num-stack 1 --use-class-labels
Updates 0, num timesteps 1280, FPS 367, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60944, value loss 0.00001, policy loss 0.00394, distill_loss -0.00075, time 0.05810 min
Updates 10, num timesteps 14080, FPS 625, mean/median reward -17.9/-20.0, min/max reward -20.0/0.0, entropy 1.18948, value loss 4.23005, policy loss -0.14371, distill_loss -3.16305, time 0.37528 min
Updates 20, num timesteps 26880, FPS 652, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.00411, value loss 2.87955, policy loss 0.04372, distill_loss -4.33545, time 0.68626 min
Updates 30, num timesteps 39680, FPS 647, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.91204, value loss 2.02155, policy loss 0.23364, distill_loss -3.52976, time 1.02107 min
Updates 40, num timesteps 52480, FPS 646, mean/median reward -20.2/-20.0, min/max reward -40.0/-18.0, entropy 1.05793, value loss 1.61486, policy loss 0.64700, distill_loss -4.05942, time 1.35325 min
Updates 50, num timesteps 65280, FPS 645, mean/median reward -20.1/-20.0, min/max reward -40.0/-18.0, entropy 0.55265, value loss 1.57331, policy loss 0.30504, distill_loss -8.14335, time 1.68489 min
Updates 60, num timesteps 78080, FPS 650, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 0.09394, value loss 1.23999, policy loss 0.09403, distill_loss -14.75053, time 2.00116 min
Updates 70, num timesteps 90880, FPS 644, mean/median reward -19.9/-20.0, min/max reward -20.0/-9.0, entropy 1.10403, value loss 6.74554, policy loss -0.39611, distill_loss -10.25849, time 2.35037 min
Updates 80, num timesteps 103680, FPS 646, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 1.04986, value loss 6.15638, policy loss -0.28374, distill_loss -10.50004, time 2.67118 min
Updates 90, num timesteps 116480, FPS 649, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.95041, value loss 3.86307, policy loss 0.09164, distill_loss -10.88659, time 2.98674 min
Updates 100, num timesteps 129280, FPS 643, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 1.06265, value loss 3.31256, policy loss 0.19078, distill_loss -11.69123, time 3.34636 min
Updates 110, num timesteps 142080, FPS 642, mean/median reward -20.3/-20.0, min/max reward -40.0/-19.0, entropy 1.22544, value loss 3.71104, policy loss 0.10011, distill_loss -12.89345, time 3.68402 min
Updates 120, num timesteps 154880, FPS 644, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 1.12921, value loss 2.55941, policy loss 0.36136, distill_loss -13.73879, time 4.00378 min
Updates 130, num timesteps 167680, FPS 639, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.20972, value loss 6.01929, policy loss -0.32664, distill_loss -11.05892, time 4.37076 min
Updates 140, num timesteps 180480, FPS 640, mean/median reward -20.1/-20.0, min/max reward -40.0/-18.0, entropy 1.04137, value loss 6.13670, policy loss -0.23428, distill_loss -11.04725, time 4.69583 min
Updates 150, num timesteps 193280, FPS 642, mean/median reward -19.7/-20.0, min/max reward -20.0/-8.0, entropy 1.22592, value loss 4.52167, policy loss -0.04808, distill_loss -10.34984, time 5.01568 min
Updates 160, num timesteps 206080, FPS 640, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 0.84012, value loss 8.21763, policy loss -0.17802, distill_loss -9.73127, time 5.35983 min
Updates 170, num timesteps 218880, FPS 643, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.28828, value loss 3.11279, policy loss 0.05065, distill_loss -13.86561, time 5.67101 min
Updates 180, num timesteps 231680, FPS 645, mean/median reward -19.9/-20.0, min/max reward -38.0/-9.0, entropy 0.62404, value loss 2.84277, policy loss 0.16118, distill_loss -13.97329, time 5.98086 min
Updates 190, num timesteps 244480, FPS 644, mean/median reward -20.0/-20.0, min/max reward -39.0/-9.0, entropy 0.80170, value loss 1.56612, policy loss 0.47721, distill_loss -14.14070, time 6.32396 min
Updates 200, num timesteps 257280, FPS 643, mean/median reward -20.2/-20.0, min/max reward -40.0/-18.0, entropy 1.25857, value loss 7.92951, policy loss -0.37802, distill_loss -10.98618, time 6.66119 min
Updates 210, num timesteps 270080, FPS 644, mean/median reward -20.1/-20.0, min/max reward -40.0/-9.0, entropy 1.04959, value loss 7.38065, policy loss -0.13133, distill_loss -12.30078, time 6.98429 min
Updates 220, num timesteps 282880, FPS 645, mean/median reward -20.4/-20.0, min/max reward -40.0/-17.0, entropy 0.77144, value loss 12.04022, policy loss -0.37280, distill_loss -12.95984, time 7.30034 min
Updates 230, num timesteps 295680, FPS 647, mean/median reward -20.0/-20.0, min/max reward -39.0/-9.0, entropy 1.08042, value loss 5.37015, policy loss -0.16484, distill_loss -13.09422, time 7.60805 min
Updates 240, num timesteps 308480, FPS 649, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.19248, value loss 5.62321, policy loss -0.15664, distill_loss -13.41994, time 7.92100 min
Updates 250, num timesteps 321280, FPS 649, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 0.74215, value loss 3.05231, policy loss 0.13135, distill_loss -15.40477, time 8.24011 min
