Algo: i2aEnvironment: RegularMiniPacmanNoFrameskip-v0
Updates 0, num timesteps 160, FPS 161, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60944, value loss 1.48998, policy loss 1.32176, distill_loss 0.00004, time 0.01648 min
Updates 10, num timesteps 1760, FPS 329, mean/median reward 5.1/0.0, min/max reward 0.0/20.0, entropy 1.04903, value loss 5.13242, policy loss -0.10940, distill_loss 0.11004, time 0.08893 min
Updates 20, num timesteps 3360, FPS 347, mean/median reward 9.2/8.0, min/max reward 0.0/27.0, entropy 0.66767, value loss 2.62155, policy loss -0.35430, distill_loss 0.01828, time 0.16132 min
Updates 30, num timesteps 4960, FPS 349, mean/median reward 7.9/6.0, min/max reward 0.0/24.0, entropy 0.92201, value loss 2.99889, policy loss 0.20179, distill_loss 0.26658, time 0.23674 min
Updates 40, num timesteps 6560, FPS 351, mean/median reward 6.8/5.0, min/max reward 0.0/17.0, entropy 0.67099, value loss 6.66781, policy loss -0.08073, distill_loss -0.59046, time 0.31077 min
Updates 50, num timesteps 8160, FPS 353, mean/median reward 9.3/6.0, min/max reward 0.0/25.0, entropy 0.96973, value loss 2.70593, policy loss 0.27889, distill_loss -0.60806, time 0.38457 min
Updates 60, num timesteps 9760, FPS 356, mean/median reward 9.4/7.0, min/max reward 0.0/33.0, entropy 0.92195, value loss 2.65436, policy loss 0.11115, distill_loss -1.63190, time 0.45683 min
Updates 70, num timesteps 11360, FPS 357, mean/median reward 10.6/8.0, min/max reward 0.0/32.0, entropy 0.79532, value loss 9.17131, policy loss -0.01291, distill_loss -1.48106, time 0.52953 min
Updates 80, num timesteps 12960, FPS 356, mean/median reward 10.9/9.0, min/max reward 1.0/33.0, entropy 0.96776, value loss 1.48262, policy loss 0.05280, distill_loss -1.50164, time 0.60648 min
Updates 90, num timesteps 14560, FPS 356, mean/median reward 13.1/13.0, min/max reward 1.0/32.0, entropy 0.89468, value loss 3.91583, policy loss 0.14633, distill_loss -2.03501, time 0.68141 min
Updates 100, num timesteps 16160, FPS 356, mean/median reward 12.6/10.0, min/max reward 0.0/35.0, entropy 0.91237, value loss 10.73286, policy loss -1.11829, distill_loss -2.66025, time 0.75590 min
Updates 110, num timesteps 17760, FPS 354, mean/median reward 14.4/13.0, min/max reward 1.0/35.0, entropy 0.31237, value loss 7.90468, policy loss -0.12507, distill_loss -5.26739, time 0.83425 min
Updates 120, num timesteps 19360, FPS 355, mean/median reward 14.2/12.0, min/max reward 0.0/33.0, entropy 0.85730, value loss 2.49606, policy loss 0.23878, distill_loss -3.07992, time 0.90683 min
Updates 130, num timesteps 20960, FPS 356, mean/median reward 16.7/14.0, min/max reward 1.0/51.0, entropy 0.65566, value loss 10.18470, policy loss -0.32007, distill_loss -4.23931, time 0.97974 min
Updates 140, num timesteps 22560, FPS 357, mean/median reward 16.0/15.0, min/max reward 1.0/39.0, entropy 0.69939, value loss 1.20483, policy loss 0.18280, distill_loss -2.66257, time 1.05112 min
