#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.20291}
r,l,t
16.0,72,6.42766
7.0,64,12.00047
10.0,27,13.374106
3.0,44,17.086209
19.0,64,22.212425
8.0,47,25.325783
8.0,41,28.792817
4.0,20,29.384104
23.0,100,35.577358
17.0,53,37.860911
20.0,46,41.44948
2.0,19,42.291313
13.0,65,46.849484
17.0,46,50.531024
16.0,99,57.543413
27.0,98,64.928213
29.0,101,73.246763
12.0,59,77.513182
14.0,112,84.775365
4.0,22,85.257857
3.0,40,87.982365
30.0,77,94.521397
15.0,66,99.239979
9.0,75,103.239595
4.0,28,103.745254
2.0,41,105.068372
4.0,39,106.020665
4.0,47,107.733027
1.0,20,107.748843
2.0,52,111.949958
45.0,149,124.166238
2.0,32,124.622712
3.0,27,125.049426
6.0,22,126.237959
1.0,33,127.220004
3.0,29,127.783788
6.0,20,128.224682
13.0,102,134.593561
30.0,115,143.356683
2.0,23,143.774965
8.0,55,148.300559
8.0,30,150.423046
1.0,11,150.431617
4.0,65,155.922796
4.0,75,161.660557
32.0,75,166.779428
18.0,67,170.824348
4.0,33,171.562538
9.0,56,175.051654
16.0,82,180.430853
22.0,66,185.522885
9.0,47,188.736217
28.0,92,194.496853
62.0,160,207.638041
7.0,29,208.861649
5.0,22,209.880844
24.0,111,218.729707
9.0,25,220.025745
1.0,24,220.493601
1.0,28,221.400788
8.0,65,225.414552
13.0,69,229.709558
5.0,30,231.824688
50.0,137,242.003127
7.0,20,242.820045
33.0,99,249.300948
5.0,33,250.368528
14.0,49,254.293189
23.0,46,257.753033
1.0,24,257.772298
9.0,15,258.56928
1.0,16,258.582945
7.0,19,259.38475
9.0,26,260.552351
10.0,21,261.725955
7.0,23,262.626009
7.0,46,264.731493
11.0,81,269.633157
13.0,39,271.014139
20.0,69,276.10472
34.0,69,281.769211
1.0,18,281.78461
8.0,31,284.315747
1.0,35,284.75411
19.0,63,289.278319
23.0,54,292.73999
23.0,90,298.956008
15.0,49,302.449262
20.0,46,305.149777
22.0,79,309.850487
5.0,38,310.423114
1.0,21,310.439759
11.0,65,315.633308
6.0,31,316.660187
3.0,12,317.063071
8.0,124,325.939807
6.0,28,326.405958
9.0,39,327.801961
29.0,105,335.928665
12.0,16,336.838178
35.0,97,344.031646
12.0,35,346.778848
23.0,68,350.821358
2.0,19,351.245763
7.0,38,353.333651
33.0,113,362.890263
1.0,29,362.911266
8.0,17,364.20108
12.0,50,368.093761
8.0,27,369.772044
22.0,74,373.714716
12.0,45,376.281591
4.0,49,378.063383
23.0,61,382.241976
10.0,61,385.354541
23.0,62,390.078817
12.0,41,391.779724
24.0,72,395.800578
4.0,45,398.810328
1.0,42,400.536895
13.0,68,404.466061
21.0,89,410.018911
2.0,34,410.531865
9.0,36,413.476515
7.0,48,416.465764
33.0,227,435.236982
10.0,21,436.825151
8.0,24,437.657149
23.0,116,447.079671
4.0,19,447.474072
3.0,29,447.851733
36.0,149,458.338834
5.0,40,461.338734
13.0,70,465.741232
9.0,36,467.727759
14.0,95,473.848369
22.0,55,477.323076
5.0,70,481.649502
21.0,64,485.016392
1.0,8,485.027224
24.0,92,492.361799
47.0,104,498.823129
12.0,89,504.830598
6.0,17,505.732412
21.0,62,510.4929
26.0,72,514.558095
12.0,30,516.274938
39.0,88,522.420836
31.0,49,525.65537
16.0,41,527.669331
5.0,30,529.336858
7.0,37,531.379469
4.0,41,532.406952
7.0,57,534.887946
14.0,80,540.625283
20.0,59,544.502745
1.0,20,544.522075
7.0,17,545.359926
4.0,36,546.145938
10.0,50,548.199104
14.0,33,549.536945
2.0,37,551.692846
42.0,116,561.583905
42.0,96,568.952702
2.0,33,569.548148
13.0,56,574.082325
1.0,16,574.097607
21.0,71,579.992343
1.0,7,579.998131
3.0,24,580.846696
17.0,77,585.113728
10.0,42,586.114327
6.0,31,588.481498
9.0,63,591.391443
6.0,16,592.008244
48.0,180,606.925936
1.0,18,606.939311
18.0,76,613.452924
13.0,50,616.442037
40.0,96,624.419616
7.0,36,624.88099
8.0,34,626.125197
11.0,22,627.769677
3.0,18,629.096564
42.0,87,635.803328
1.0,19,635.82101
27.0,49,639.486216
8.0,57,642.937019
23.0,68,647.509053
49.0,150,658.373472
2.0,20,658.476408
28.0,76,664.239372
27.0,100,670.159784
4.0,13,670.290475
28.0,82,675.735758
123.0,3000,930.846347
44.0,94,938.608096
14.0,32,941.174314
42.0,111,948.576335
10.0,33,949.81431
57.0,91,956.608265
6.0,144,968.160691
3.0,113,976.464749
17.0,56,980.683408
16.0,62,983.341963
8.0,29,984.875961
47.0,125,994.823582
8.0,14,995.835173
48.0,105,1003.146857
11.0,45,1005.613606
7.0,12,1006.404743
18.0,48,1010.346898
4.0,25,1010.723747
17.0,34,1013.329821
1.0,18,1013.70503
31.0,90,1019.634407
19.0,28,1021.998012
21.0,44,1025.479329
29.0,69,1030.252982
8.0,49,1033.737195
15.0,108,1041.79416
12.0,39,1043.05615
1.0,17,1043.104439
18.0,56,1046.386426
13.0,30,1048.544768
11.0,53,1051.107136
8.0,29,1052.00213
8.0,20,1052.75679
8.0,23,1053.275507
19.0,52,1055.737868
10.0,40,1057.40538
1.0,28,1057.428051
5.0,14,1058.313751
11.0,60,1060.885762
1.0,26,1060.909042
29.0,68,1066.570308
11.0,42,1068.566878
3.0,45,1071.495569
7.0,25,1073.01027
4.0,26,1073.952361
20.0,69,1079.335543
17.0,57,1083.281922
21.0,69,1087.478179
38.0,104,1095.017731
15.0,64,1099.258535
11.0,44,1102.515413
2.0,16,1102.716823
35.0,120,1111.208066
52.0,112,1118.972465
7.0,17,1120.191839
39.0,106,1127.782018
22.0,50,1131.253429
3.0,22,1131.649511
51.0,109,1139.776708
5.0,30,1141.740067
11.0,51,1144.008663
6.0,27,1145.015481
16.0,41,1147.776801
18.0,58,1151.497145
2.0,24,1151.570982
19.0,77,1157.299461
2.0,29,1158.590323
7.0,85,1163.8003
13.0,42,1167.584701
16.0,24,1169.485343
9.0,41,1170.635359
22.0,69,1174.277022
6.0,50,1176.77054
1.0,26,1176.790586
23.0,58,1181.780648
34.0,108,1189.5057
2.0,18,1189.560349
9.0,29,1191.710505
23.0,74,1197.496748
25.0,86,1204.588587
16.0,36,1207.516833
25.0,60,1211.147023
8.0,33,1212.387884
29.0,56,1215.642414
7.0,39,1217.723798
11.0,40,1220.254863
2.0,33,1222.153068
31.0,64,1227.162467
18.0,94,1233.579259
6.0,47,1235.426595
6.0,41,1238.793536
12.0,40,1240.738271
8.0,30,1242.356241
1.0,13,1242.370234
10.0,66,1247.178318
27.0,116,1257.060977
14.0,33,1259.385576
3.0,28,1259.736048
4.0,29,1260.63573
17.0,72,1265.845222
23.0,74,1272.142067
15.0,87,1277.995947
1.0,45,1280.118523
1.0,30,1280.546614
1.0,28,1280.567225
15.0,27,1282.663331
2.0,46,1284.867812
1.0,16,1284.882907
18.0,39,1287.603472
14.0,44,1289.819771
21.0,72,1294.983954
1.0,24,1295.001531
15.0,48,1299.129325
6.0,41,1302.644173
17.0,57,1306.598179
2.0,10,1306.703512
19.0,45,1310.474828
5.0,23,1311.231968
9.0,38,1313.360361
18.0,97,1321.12952
16.0,57,1325.823678
10.0,29,1327.61977
17.0,53,1330.160282
20.0,75,1334.213804
14.0,37,1335.873612
