command line args: I2A/EnvironmentModel/make_environment_model.py --env-name HuntMiniPacmanNoFrameskip-v0 --use-class-labels --load-policy-model --batch-size 2000 --lr 7e-4 --eps 1e-8 --reward-loss-coef 0.01 --save-environment-model-dir trained_models/environment_models/ --load-policy-model-dir trained_models/a2c/ --port 5025

Updates 9, num timesteps 20000, FPS 431, frame loss 1.68474, reward loss 5.50775, pred reward -0.00000, reward 0.00000, time 0.77250 min
Updates 19, num timesteps 40000, FPS 735, frame loss 1.32722, reward loss 5.37047, pred reward -0.00000, reward -20.00000, time 0.90593 min
Updates 29, num timesteps 60000, FPS 956, frame loss 1.13419, reward loss 5.38323, pred reward -0.00000, reward 0.00000, time 1.04537 min
Updates 39, num timesteps 80000, FPS 1127, frame loss 0.99607, reward loss 5.39570, pred reward 0.00000, reward 0.00000, time 1.18250 min
Updates 49, num timesteps 100000, FPS 1209, frame loss 0.88678, reward loss 5.44627, pred reward 0.00000, reward 0.00000, time 1.37850 min
Updates 59, num timesteps 120000, FPS 1322, frame loss 0.79533, reward loss 5.47584, pred reward 0.00000, reward 0.00000, time 1.51225 min
Updates 69, num timesteps 140000, FPS 1416, frame loss 0.71722, reward loss 5.47407, pred reward 0.00000, reward 0.00000, time 1.64717 min
Updates 79, num timesteps 160000, FPS 1492, frame loss 0.65018, reward loss 5.41277, pred reward 0.00000, reward 0.00000, time 1.78686 min
Updates 89, num timesteps 180000, FPS 1550, frame loss 0.59286, reward loss 5.44177, pred reward 0.00000, reward 0.00000, time 1.93480 min
Updates 99, num timesteps 200000, FPS 1610, frame loss 0.54419, reward loss 5.48753, pred reward 0.00000, reward 0.00000, time 2.06984 min
Updates 109, num timesteps 220000, FPS 1659, frame loss 0.50268, reward loss 5.51169, pred reward 0.00000, reward 0.00000, time 2.20974 min
Updates 119, num timesteps 240000, FPS 1704, frame loss 0.46704, reward loss 5.51808, pred reward 0.00000, reward 0.00000, time 2.34656 min
Updates 129, num timesteps 260000, FPS 1744, frame loss 0.43620, reward loss 5.52345, pred reward 0.00000, reward 0.00000, time 2.48341 min
Updates 139, num timesteps 280000, FPS 1776, frame loss 0.40931, reward loss 5.54130, pred reward 0.00000, reward 0.00000, time 2.62725 min
Updates 149, num timesteps 300000, FPS 1808, frame loss 0.38564, reward loss 5.53544, pred reward 0.00000, reward 0.00000, time 2.76447 min
Updates 159, num timesteps 320000, FPS 1834, frame loss 0.36469, reward loss 5.55688, pred reward 0.00000, reward 0.00000, time 2.90741 min
Updates 169, num timesteps 340000, FPS 1858, frame loss 0.34593, reward loss 5.58105, pred reward 0.00000, reward 0.00000, time 3.04875 min
Updates 179, num timesteps 360000, FPS 1882, frame loss 0.32912, reward loss 5.61729, pred reward 0.00000, reward 0.00000, time 3.18684 min
Updates 189, num timesteps 380000, FPS 1910, frame loss 0.31395, reward loss 5.63761, pred reward 0.00000, reward 0.00000, time 3.31585 min
