command line args: state_space_model_trainer.py --latent-space-model dSSM_DET --lr 0.0001 --skip-frames 4 --weight-decay 0 --load-policy-model --batch-size 150 --sample-memory-size 1500 --rollout-steps 10 --port 5555

Updates 0, num timesteps 150, FPS 3, frame loss 0.32798, reward loss 0.68582, pred reward 0.00000, reward 0.00000, time 0.76869 min
Updates 1, num timesteps 300, FPS 6, frame loss 0.32781, reward loss 0.66501, pred reward 0.00000, reward 0.00000, time 0.78916 min
Updates 2, num timesteps 450, FPS 9, frame loss 0.32749, reward loss 0.64403, pred reward 0.00000, reward 0.00000, time 0.80575 min
Updates 3, num timesteps 600, FPS 12, frame loss 0.32727, reward loss 0.62203, pred reward 0.00000, reward 0.00000, time 0.82420 min
Updates 4, num timesteps 750, FPS 14, frame loss 0.32713, reward loss 0.59825, pred reward 0.00000, reward 0.00000, time 0.84259 min
Updates 5, num timesteps 900, FPS 17, frame loss 0.32690, reward loss 0.57375, pred reward 0.00000, reward 0.00000, time 0.86106 min
Updates 6, num timesteps 1050, FPS 19, frame loss 0.32668, reward loss 0.54816, pred reward 0.00000, reward 0.00000, time 0.87950 min
Updates 7, num timesteps 1200, FPS 22, frame loss 0.32643, reward loss 0.52240, pred reward 0.00000, reward 0.00000, time 0.89618 min
Updates 8, num timesteps 1350, FPS 24, frame loss 0.32614, reward loss 0.49612, pred reward 0.00000, reward 0.00000, time 0.91350 min
Updates 9, num timesteps 1500, FPS 26, frame loss 0.32581, reward loss 0.47103, pred reward 0.00000, reward 0.00000, time 0.93185 min
Updates 9, num timesteps 1500, FPS 26, frame loss 0.32581, reward loss 0.47103, pred reward 0.00000, reward 0.00000, time 0.93200 min
Updates 10, num timesteps 1650, FPS 28, frame loss 0.32537, reward loss 0.44853, pred reward 0.00000, reward 0.00000, time 0.95050 min
Updates 11, num timesteps 1800, FPS 30, frame loss 0.32481, reward loss 0.42973, pred reward 0.00000, reward 0.00000, time 0.96892 min
Updates 12, num timesteps 1950, FPS 32, frame loss 0.32415, reward loss 0.41284, pred reward 0.00000, reward 0.00000, time 0.98753 min
Updates 13, num timesteps 2100, FPS 34, frame loss 0.32334, reward loss 0.39907, pred reward 0.00000, reward 0.00000, time 1.00378 min
Updates 14, num timesteps 2250, FPS 36, frame loss 0.32252, reward loss 0.39015, pred reward 0.00000, reward 0.00000, time 1.02001 min
Updates 15, num timesteps 2400, FPS 38, frame loss 0.32178, reward loss 0.38361, pred reward 0.00000, reward 0.00000, time 1.03945 min
Updates 16, num timesteps 2550, FPS 40, frame loss 0.32098, reward loss 0.37701, pred reward 0.00000, reward 0.00000, time 1.05800 min
Updates 17, num timesteps 2700, FPS 41, frame loss 0.32012, reward loss 0.36976, pred reward 0.00000, reward 0.00000, time 1.07634 min
Updates 18, num timesteps 2850, FPS 43, frame loss 0.31928, reward loss 0.36061, pred reward 0.00000, reward 0.00000, time 1.09471 min
Updates 19, num timesteps 3000, FPS 44, frame loss 0.31844, reward loss 0.35019, pred reward 0.00000, reward 0.00000, time 1.11312 min
Updates 19, num timesteps 3000, FPS 44, frame loss 0.31844, reward loss 0.35019, pred reward 0.00000, reward 0.00000, time 1.11324 min
Updates 20, num timesteps 3150, FPS 46, frame loss 0.31757, reward loss 0.34027, pred reward 0.00000, reward 0.00000, time 1.13172 min
Updates 21, num timesteps 3300, FPS 47, frame loss 0.31667, reward loss 0.33090, pred reward 0.00000, reward 0.00000, time 1.15028 min
Updates 22, num timesteps 3450, FPS 49, frame loss 0.31572, reward loss 0.32239, pred reward 0.00000, reward 0.00000, time 1.16891 min
Updates 23, num timesteps 3600, FPS 50, frame loss 0.31474, reward loss 0.31501, pred reward 0.00000, reward 0.00000, time 1.18644 min
Updates 24, num timesteps 3750, FPS 51, frame loss 0.31377, reward loss 0.30847, pred reward 0.00000, reward 0.00000, time 1.20485 min
Updates 25, num timesteps 3900, FPS 53, frame loss 0.31280, reward loss 0.30280, pred reward 0.00000, reward 0.00000, time 1.22344 min
Updates 26, num timesteps 4050, FPS 54, frame loss 0.31179, reward loss 0.29700, pred reward 0.00000, reward 0.00000, time 1.24191 min
Updates 27, num timesteps 4200, FPS 55, frame loss 0.31075, reward loss 0.29136, pred reward 0.00000, reward 0.00000, time 1.26033 min
Updates 28, num timesteps 4350, FPS 56, frame loss 0.30972, reward loss 0.28583, pred reward 0.00000, reward 0.00000, time 1.27936 min
Updates 29, num timesteps 4500, FPS 57, frame loss 0.30866, reward loss 0.28082, pred reward 0.00000, reward 0.00000, time 1.29786 min
Updates 29, num timesteps 4500, FPS 57, frame loss 0.30866, reward loss 0.28082, pred reward 0.00000, reward 0.00000, time 1.29801 min
Updates 30, num timesteps 4650, FPS 58, frame loss 0.30760, reward loss 0.27615, pred reward 0.00000, reward 0.00000, time 1.31659 min
Updates 31, num timesteps 4800, FPS 59, frame loss 0.30653, reward loss 0.27150, pred reward 0.00000, reward 0.00000, time 1.33502 min
Updates 32, num timesteps 4950, FPS 60, frame loss 0.30546, reward loss 0.26753, pred reward 0.00000, reward 0.00000, time 1.35348 min
Updates 33, num timesteps 5100, FPS 61, frame loss 0.30438, reward loss 0.26397, pred reward 0.00000, reward 0.00000, time 1.37191 min
Updates 34, num timesteps 5250, FPS 63, frame loss 0.30329, reward loss 0.26027, pred reward 0.00000, reward 0.00000, time 1.38862 min
Updates 35, num timesteps 5400, FPS 63, frame loss 0.30219, reward loss 0.25690, pred reward 0.00000, reward 0.00000, time 1.40724 min
Updates 36, num timesteps 5550, FPS 64, frame loss 0.30109, reward loss 0.25311, pred reward 0.00000, reward 0.00000, time 1.42578 min
Updates 37, num timesteps 5700, FPS 65, frame loss 0.29999, reward loss 0.24982, pred reward 0.00000, reward 0.00000, time 1.44214 min
Updates 38, num timesteps 5850, FPS 66, frame loss 0.29889, reward loss 0.24635, pred reward 0.00000, reward 0.00000, time 1.46057 min
Updates 39, num timesteps 6000, FPS 67, frame loss 0.29779, reward loss 0.24353, pred reward 0.00000, reward 0.00000, time 1.47690 min
Updates 39, num timesteps 6000, FPS 67, frame loss 0.29779, reward loss 0.24353, pred reward 0.00000, reward 0.00000, time 1.47704 min
Updates 40, num timesteps 6150, FPS 68, frame loss 0.29668, reward loss 0.24073, pred reward 0.00000, reward 0.00000, time 1.49547 min
Updates 41, num timesteps 6300, FPS 69, frame loss 0.29558, reward loss 0.23795, pred reward 0.00000, reward 0.00000, time 1.51404 min
Updates 42, num timesteps 6450, FPS 70, frame loss 0.29447, reward loss 0.23543, pred reward 0.00000, reward 0.00000, time 1.53255 min
Updates 43, num timesteps 6600, FPS 70, frame loss 0.29336, reward loss 0.23279, pred reward 0.00000, reward 0.00000, time 1.55121 min
Updates 44, num timesteps 6750, FPS 71, frame loss 0.29226, reward loss 0.23057, pred reward 0.00000, reward 0.00000, time 1.56962 min
Updates 45, num timesteps 6900, FPS 72, frame loss 0.29115, reward loss 0.22826, pred reward 0.00000, reward 0.00000, time 1.58609 min
Updates 46, num timesteps 7050, FPS 73, frame loss 0.29003, reward loss 0.22623, pred reward 0.00000, reward 0.00000, time 1.60456 min
Updates 47, num timesteps 7200, FPS 73, frame loss 0.28892, reward loss 0.22427, pred reward 0.00000, reward 0.00000, time 1.62310 min
Updates 48, num timesteps 7350, FPS 74, frame loss 0.28779, reward loss 0.22234, pred reward 0.00000, reward 0.00000, time 1.64179 min
Updates 49, num timesteps 7500, FPS 75, frame loss 0.28666, reward loss 0.22052, pred reward 0.00000, reward 0.00000, time 1.66046 min
Updates 49, num timesteps 7500, FPS 75, frame loss 0.28666, reward loss 0.22052, pred reward 0.00000, reward 0.00000, time 1.66061 min
Updates 50, num timesteps 7650, FPS 75, frame loss 0.28552, reward loss 0.21851, pred reward 0.00000, reward 0.00000, time 1.67915 min
Updates 51, num timesteps 7800, FPS 76, frame loss 0.28437, reward loss 0.21672, pred reward 0.00000, reward 0.00000, time 1.69764 min
Updates 52, num timesteps 7950, FPS 77, frame loss 0.28321, reward loss 0.21492, pred reward 0.00000, reward 0.00000, time 1.71622 min
Updates 53, num timesteps 8100, FPS 77, frame loss 0.28203, reward loss 0.21331, pred reward 0.00000, reward 0.00000, time 1.73467 min
Updates 54, num timesteps 8250, FPS 78, frame loss 0.28085, reward loss 0.21178, pred reward 0.00000, reward 0.00000, time 1.75324 min
Updates 55, num timesteps 8400, FPS 79, frame loss 0.27967, reward loss 0.21036, pred reward 0.00000, reward 0.00000, time 1.77172 min
Updates 56, num timesteps 8550, FPS 79, frame loss 0.27849, reward loss 0.20889, pred reward 0.00000, reward 0.00000, time 1.79041 min
Updates 57, num timesteps 8700, FPS 80, frame loss 0.27732, reward loss 0.20750, pred reward 0.00000, reward 0.00000, time 1.80886 min
Updates 58, num timesteps 8850, FPS 80, frame loss 0.27615, reward loss 0.20615, pred reward 0.00000, reward 0.00000, time 1.82736 min
Updates 59, num timesteps 9000, FPS 81, frame loss 0.27499, reward loss 0.20476, pred reward 0.00000, reward 0.00000, time 1.84586 min
Updates 59, num timesteps 9000, FPS 81, frame loss 0.27499, reward loss 0.20476, pred reward 0.00000, reward 0.00000, time 1.84602 min
Updates 60, num timesteps 9150, FPS 81, frame loss 0.27384, reward loss 0.20350, pred reward 0.00000, reward 0.00000, time 1.86454 min
Updates 61, num timesteps 9300, FPS 82, frame loss 0.27269, reward loss 0.20213, pred reward 0.00000, reward 0.00000, time 1.88308 min
Updates 62, num timesteps 9450, FPS 82, frame loss 0.27156, reward loss 0.20090, pred reward 0.00000, reward 0.00000, time 1.90174 min
Updates 63, num timesteps 9600, FPS 83, frame loss 0.27044, reward loss 0.19971, pred reward 0.00000, reward 0.00000, time 1.92035 min
Updates 64, num timesteps 9750, FPS 83, frame loss 0.26934, reward loss 0.19855, pred reward 0.00000, reward 0.00000, time 1.93879 min
Updates 65, num timesteps 9900, FPS 84, frame loss 0.26825, reward loss 0.19734, pred reward 0.00000, reward 0.00000, time 1.95723 min
Updates 66, num timesteps 10050, FPS 84, frame loss 0.26717, reward loss 0.19627, pred reward 0.00000, reward 0.00000, time 1.97570 min
Updates 67, num timesteps 10200, FPS 85, frame loss 0.26611, reward loss 0.19533, pred reward 0.00000, reward 0.00000, time 1.99214 min
Updates 68, num timesteps 10350, FPS 85, frame loss 0.26507, reward loss 0.19430, pred reward 0.00000, reward 0.00000, time 2.01035 min
Updates 69, num timesteps 10500, FPS 86, frame loss 0.26404, reward loss 0.19321, pred reward 0.00000, reward 0.00000, time 2.02886 min
Updates 69, num timesteps 10500, FPS 86, frame loss 0.26404, reward loss 0.19321, pred reward 0.00000, reward 0.00000, time 2.02905 min
Updates 70, num timesteps 10650, FPS 86, frame loss 0.26304, reward loss 0.19220, pred reward 0.00000, reward 0.00000, time 2.04777 min
Updates 71, num timesteps 10800, FPS 87, frame loss 0.26205, reward loss 0.19124, pred reward 0.00000, reward 0.00000, time 2.06639 min
Updates 72, num timesteps 10950, FPS 87, frame loss 0.26107, reward loss 0.19046, pred reward 0.00000, reward 0.00000, time 2.08496 min
Updates 73, num timesteps 11100, FPS 87, frame loss 0.26012, reward loss 0.18960, pred reward 0.00000, reward 0.00000, time 2.10338 min
Updates 74, num timesteps 11250, FPS 88, frame loss 0.25919, reward loss 0.18881, pred reward 0.00000, reward 0.00000, time 2.11969 min
Updates 75, num timesteps 11400, FPS 88, frame loss 0.25827, reward loss 0.18791, pred reward 0.00000, reward 0.00000, time 2.13834 min
