command line args: /home/flo/Dokumente/Master_GuidedResearch/state_space_model_trainer.py --latent-space-model sSSM --lr 0.0005 --skip-frames 4 --weight-decay 0 --render --load-policy-model --batch-size 5 --sample-memory-size 50 --rollout-steps 10

Updates 1, num timesteps 10, FPS 16, frame loss 0.70883, reward loss 0.91820, pred reward 0.00000, reward 0.00000, time 0.00984 min
Updates 3, num timesteps 20, FPS 23, frame loss 0.70155, reward loss 0.91999, pred reward 0.00000, reward 0.00000, time 0.01409 min
Updates 5, num timesteps 30, FPS 27, frame loss 0.69709, reward loss 0.91815, pred reward 0.00000, reward 0.00000, time 0.01848 min
Updates 7, num timesteps 40, FPS 29, frame loss 0.69249, reward loss 0.91826, pred reward 0.00000, reward 0.00000, time 0.02275 min
Updates 9, num timesteps 50, FPS 30, frame loss 0.68623, reward loss 0.91874, pred reward 0.00000, reward 0.00000, time 0.02714 min
Updates 9, num timesteps 50, FPS 30, frame loss 0.68623, reward loss 0.91874, pred reward 0.00000, reward 0.00000, time 0.02722 min
Updates 11, num timesteps 60, FPS 27, frame loss 0.67920, reward loss 0.91983, pred reward 0.00000, reward 0.00000, time 0.03585 min
Updates 13, num timesteps 70, FPS 28, frame loss 0.67280, reward loss 0.91887, pred reward 0.00000, reward 0.00000, time 0.04026 min
Updates 15, num timesteps 80, FPS 29, frame loss 0.66696, reward loss 0.92073, pred reward 0.00000, reward 0.00000, time 0.04465 min
Updates 17, num timesteps 90, FPS 30, frame loss 0.66154, reward loss 0.91867, pred reward 0.00000, reward 0.00000, time 0.04917 min
Updates 19, num timesteps 100, FPS 31, frame loss 0.65643, reward loss 0.91819, pred reward 0.00000, reward 0.00000, time 0.05346 min
Updates 19, num timesteps 100, FPS 31, frame loss 0.65643, reward loss 0.91819, pred reward 0.00000, reward 0.00000, time 0.05352 min
Updates 21, num timesteps 110, FPS 29, frame loss 0.65167, reward loss 0.91940, pred reward 0.00000, reward 0.00000, time 0.06174 min
Updates 23, num timesteps 120, FPS 30, frame loss 0.64708, reward loss 0.91877, pred reward 0.00000, reward 0.00000, time 0.06584 min
Updates 25, num timesteps 130, FPS 30, frame loss 0.64244, reward loss 0.91993, pred reward 0.00000, reward 0.00000, time 0.07010 min
Updates 27, num timesteps 140, FPS 31, frame loss 0.63766, reward loss 0.92059, pred reward 0.00000, reward 0.00000, time 0.07422 min
Updates 29, num timesteps 150, FPS 31, frame loss 0.63297, reward loss 0.92087, pred reward 0.00000, reward 0.00000, time 0.07840 min
Updates 29, num timesteps 150, FPS 31, frame loss 0.63297, reward loss 0.92087, pred reward 0.00000, reward 0.00000, time 0.07845 min
Updates 31, num timesteps 160, FPS 30, frame loss 0.62848, reward loss 0.92131, pred reward 0.00000, reward 0.00000, time 0.08640 min
Updates 33, num timesteps 170, FPS 31, frame loss 0.62441, reward loss 0.92072, pred reward 0.00000, reward 0.00000, time 0.09052 min
Updates 35, num timesteps 180, FPS 31, frame loss 0.62066, reward loss 0.91958, pred reward 0.00000, reward 0.00000, time 0.09462 min
Updates 37, num timesteps 190, FPS 32, frame loss 0.61735, reward loss 0.91885, pred reward 0.00000, reward 0.00000, time 0.09872 min
Updates 39, num timesteps 200, FPS 32, frame loss 0.61425, reward loss 0.91891, pred reward 0.00000, reward 0.00000, time 0.10289 min
Updates 39, num timesteps 200, FPS 32, frame loss 0.61425, reward loss 0.91891, pred reward 0.00000, reward 0.00000, time 0.10296 min
Updates 41, num timesteps 210, FPS 31, frame loss 0.61135, reward loss 0.91943, pred reward 0.00000, reward 0.00000, time 0.11112 min
Updates 43, num timesteps 220, FPS 31, frame loss 0.60875, reward loss 0.91917, pred reward 0.00000, reward 0.00000, time 0.11528 min
Updates 45, num timesteps 230, FPS 32, frame loss 0.60625, reward loss 0.91876, pred reward 0.00000, reward 0.00000, time 0.11941 min
Updates 47, num timesteps 240, FPS 32, frame loss 0.60394, reward loss 0.91862, pred reward 0.00000, reward 0.00000, time 0.12354 min
Updates 49, num timesteps 250, FPS 32, frame loss 0.60184, reward loss 0.91860, pred reward 0.00000, reward 0.00000, time 0.12766 min
Updates 49, num timesteps 250, FPS 32, frame loss 0.60184, reward loss 0.91860, pred reward 0.00000, reward 0.00000, time 0.12771 min
Updates 51, num timesteps 260, FPS 31, frame loss 0.59981, reward loss 0.91916, pred reward 0.00000, reward 0.00000, time 0.13575 min
Updates 53, num timesteps 270, FPS 32, frame loss 0.59777, reward loss 0.91892, pred reward 0.00000, reward 0.00000, time 0.13993 min
Updates 55, num timesteps 280, FPS 32, frame loss 0.59595, reward loss 0.91882, pred reward 0.00000, reward 0.00000, time 0.14404 min
Updates 57, num timesteps 290, FPS 32, frame loss 0.59409, reward loss 0.91904, pred reward 0.00000, reward 0.00000, time 0.14814 min
Updates 59, num timesteps 300, FPS 32, frame loss 0.59240, reward loss 0.91915, pred reward 0.00000, reward 0.00000, time 0.15225 min
Updates 59, num timesteps 300, FPS 32, frame loss 0.59240, reward loss 0.91915, pred reward 0.00000, reward 0.00000, time 0.15230 min
Updates 61, num timesteps 310, FPS 32, frame loss 0.59072, reward loss 0.91960, pred reward 0.00000, reward 0.00000, time 0.16023 min
Updates 63, num timesteps 320, FPS 32, frame loss 0.58909, reward loss 0.92038, pred reward 0.00000, reward 0.00000, time 0.16437 min
Updates 65, num timesteps 330, FPS 32, frame loss 0.58746, reward loss 0.92027, pred reward 0.00000, reward 0.00000, time 0.16845 min
Updates 67, num timesteps 340, FPS 32, frame loss 0.58589, reward loss 0.92052, pred reward 0.00000, reward 0.00000, time 0.17254 min
Updates 69, num timesteps 350, FPS 33, frame loss 0.58433, reward loss 0.92050, pred reward 0.00000, reward 0.00000, time 0.17661 min
Updates 69, num timesteps 350, FPS 33, frame loss 0.58433, reward loss 0.92050, pred reward 0.00000, reward 0.00000, time 0.17667 min
Updates 71, num timesteps 360, FPS 32, frame loss 0.58278, reward loss 0.92043, pred reward 0.00000, reward 0.00000, time 0.18448 min
Updates 73, num timesteps 370, FPS 32, frame loss 0.58121, reward loss 0.92006, pred reward 0.00000, reward 0.00000, time 0.18870 min
Updates 75, num timesteps 380, FPS 32, frame loss 0.57968, reward loss 0.91982, pred reward 0.00000, reward 0.00000, time 0.19286 min
Updates 77, num timesteps 390, FPS 32, frame loss 0.57817, reward loss 0.91992, pred reward 0.00000, reward 0.00000, time 0.19698 min
Updates 79, num timesteps 400, FPS 33, frame loss 0.57671, reward loss 0.92007, pred reward 0.00000, reward 0.00000, time 0.20109 min
