command line args: main.py --environment-model CopyModel --env-name HuntMiniPacmanNoFrameskip-v0 --algo i2a --log-interval 10 --num-processes 128 --num-stack 1 --distill-coef 10 --entropy-coef 0.02 --port 5027
Updates 0, num timesteps 640, FPS 695, mean/median reward -2.3/0.0, min/max reward -20.0/0.0, entropy 1.60919, value loss 21.55485, policy loss -1.34010, distill_loss 0.19072, time 0.01534 min
Updates 10, num timesteps 7040, FPS 1726, mean/median reward -17.2/-20.0, min/max reward -40.0/0.0, entropy 0.04170, value loss 0.42238, policy loss 0.01185, distill_loss -12.12151, time 0.06796 min
Updates 20, num timesteps 13440, FPS 1849, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 0.83948, value loss 2.31168, policy loss 0.03849, distill_loss -15.38861, time 0.12109 min
Updates 30, num timesteps 19840, FPS 1898, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 0.61947, value loss 3.61772, policy loss -0.15117, distill_loss -13.25191, time 0.17421 min
Updates 40, num timesteps 26240, FPS 1903, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.04272, value loss 0.57019, policy loss 0.02074, distill_loss -19.32133, time 0.22977 min
Updates 50, num timesteps 32640, FPS 1898, mean/median reward -20.0/-20.0, min/max reward -20.0/-18.0, entropy 0.08898, value loss 5.64206, policy loss -0.28911, distill_loss -15.27179, time 0.28649 min
Updates 60, num timesteps 39040, FPS 1908, mean/median reward -20.0/-20.0, min/max reward -20.0/-19.0, entropy 0.07690, value loss 2.39705, policy loss -0.02962, distill_loss -15.86434, time 0.34088 min
Updates 70, num timesteps 45440, FPS 1928, mean/median reward -19.9/-20.0, min/max reward -20.0/-19.0, entropy 0.03665, value loss 1.31272, policy loss 0.01351, distill_loss -16.98246, time 0.39277 min
Updates 80, num timesteps 51840, FPS 1955, mean/median reward -19.6/-20.0, min/max reward -20.0/-9.0, entropy 0.77653, value loss 2.29364, policy loss 0.08969, distill_loss -15.95078, time 0.44188 min
Updates 90, num timesteps 58240, FPS 1953, mean/median reward -20.0/-20.0, min/max reward -40.0/-17.0, entropy 0.29611, value loss 2.29847, policy loss 0.01560, distill_loss -15.88338, time 0.49679 min
Updates 100, num timesteps 64640, FPS 1953, mean/median reward -19.9/-20.0, min/max reward -39.0/-17.0, entropy 0.79725, value loss 0.70727, policy loss 0.29233, distill_loss -20.14287, time 0.55149 min
Updates 110, num timesteps 71040, FPS 1932, mean/median reward -19.9/-20.0, min/max reward -20.0/-17.0, entropy 0.90161, value loss 3.24823, policy loss -0.05447, distill_loss -14.62114, time 0.61265 min
Updates 120, num timesteps 77440, FPS 1947, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 1.02172, value loss 2.50918, policy loss -0.11410, distill_loss -17.81879, time 0.66282 min
Updates 130, num timesteps 83840, FPS 1958, mean/median reward -20.0/-20.0, min/max reward -40.0/-18.0, entropy 0.10324, value loss 3.50531, policy loss 0.01417, distill_loss -16.72610, time 0.71346 min
Updates 140, num timesteps 90240, FPS 1956, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.26903, value loss 3.35068, policy loss 0.03030, distill_loss -16.59669, time 0.76859 min
Updates 150, num timesteps 96640, FPS 1965, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.68095, value loss 1.72578, policy loss 0.12407, distill_loss -15.87309, time 0.81961 min
Updates 160, num timesteps 103040, FPS 1973, mean/median reward -19.7/-20.0, min/max reward -20.0/-9.0, entropy 0.93481, value loss 4.04522, policy loss -0.24018, distill_loss -16.18263, time 0.87039 min
Updates 170, num timesteps 109440, FPS 1977, mean/median reward -19.8/-20.0, min/max reward -20.0/-18.0, entropy 0.55372, value loss 2.92620, policy loss 0.07406, distill_loss -19.02902, time 0.92253 min
Updates 180, num timesteps 115840, FPS 1984, mean/median reward -19.9/-20.0, min/max reward -20.0/-18.0, entropy 0.38861, value loss 2.37816, policy loss -0.11773, distill_loss -19.56240, time 0.97288 min
