Algo: i2aEnvironment: HuntMiniPacmanNoFrameskip-v0
Updates 0, num timesteps 2560, FPS 522, mean/median reward -12.2/-20.0, min/max reward -40.0/0.0, entropy 1.60944, value loss 122.28074, policy loss -9.80785, distill_loss -0.00014, time 0.08172 min
Updates 10, num timesteps 28160, FPS 752, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.45944, value loss 20.80222, policy loss -2.46387, distill_loss -6.11809, time 0.62401 min
Updates 20, num timesteps 53760, FPS 765, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.54714, value loss 10.46800, policy loss -1.02638, distill_loss -7.25802, time 1.16972 min
Updates 30, num timesteps 79360, FPS 771, mean/median reward -20.1/-20.0, min/max reward -40.0/-9.0, entropy 1.56490, value loss 10.17579, policy loss -0.45625, distill_loss -8.13004, time 1.71535 min
Updates 40, num timesteps 104960, FPS 771, mean/median reward -20.3/-20.0, min/max reward -40.0/-9.0, entropy 1.53424, value loss 7.62075, policy loss -0.14822, distill_loss -8.09426, time 2.26798 min
Updates 50, num timesteps 130560, FPS 772, mean/median reward -20.1/-20.0, min/max reward -40.0/-19.0, entropy 1.59801, value loss 10.25521, policy loss -0.96099, distill_loss -8.92043, time 2.81813 min
Updates 60, num timesteps 156160, FPS 774, mean/median reward -20.3/-20.0, min/max reward -40.0/-9.0, entropy 1.53481, value loss 7.53032, policy loss -0.44709, distill_loss -8.74342, time 3.35907 min
Updates 70, num timesteps 181760, FPS 775, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.22837, value loss 10.72859, policy loss -0.68236, distill_loss -7.65267, time 3.90662 min
Updates 80, num timesteps 207360, FPS 776, mean/median reward -20.2/-20.0, min/max reward -40.0/-18.0, entropy 1.33074, value loss 4.21162, policy loss 1.22716, distill_loss -10.08753, time 4.45307 min
Updates 90, num timesteps 232960, FPS 777, mean/median reward -20.0/-20.0, min/max reward -40.0/-9.0, entropy 1.50932, value loss 4.36972, policy loss 1.04226, distill_loss -10.67153, time 4.99477 min
Updates 100, num timesteps 258560, FPS 777, mean/median reward -19.9/-20.0, min/max reward -40.0/-9.0, entropy 1.49642, value loss 4.21352, policy loss 0.90692, distill_loss -11.15886, time 5.54444 min
