command line args: main.py --algo i2a --env-name MsPacmanNoFrameskip-v0 --num-processes 30 --port 5557 --log-dir /tmp/i2a/MsPacman_dSSM_DET_5rollouts --i2a-rollout-steps 5 --num-steps 10 --entropy-coef 0.02 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model dSSM_DET
Updates 0, num timesteps 300, FPS 59, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00122, policy loss -0.00441, distill_loss -0.00355, time 0.08345 min
Updates 10, num timesteps 3300, FPS 61, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 0.93059, value loss 3.92117, policy loss -0.15936, distill_loss -5.56205, time 0.89004 min
Updates 20, num timesteps 6300, FPS 63, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.83498, value loss 0.53849, policy loss 0.24911, distill_loss -2.35434, time 1.65835 min
Updates 30, num timesteps 9300, FPS 64, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.13721, value loss 0.82742, policy loss 0.29866, distill_loss -2.11659, time 2.42173 min
Updates 40, num timesteps 12300, FPS 64, mean/median reward -0.6/0.0, min/max reward -19.0/0.0, entropy 1.94510, value loss 5.54283, policy loss -0.68822, distill_loss -1.48583, time 3.18404 min
Updates 50, num timesteps 15300, FPS 64, mean/median reward -3.1/0.0, min/max reward -19.0/24.0, entropy 2.11044, value loss 5.64232, policy loss -0.75364, distill_loss -1.54797, time 3.94218 min
Updates 60, num timesteps 18300, FPS 64, mean/median reward 0.4/0.0, min/max reward -19.0/25.0, entropy 2.08055, value loss 2.77522, policy loss -0.18099, distill_loss -1.46074, time 4.70862 min
Updates 70, num timesteps 21300, FPS 64, mean/median reward 4.9/0.0, min/max reward -19.0/62.0, entropy 2.02045, value loss 8.61478, policy loss -1.30549, distill_loss -0.98713, time 5.48115 min
Updates 80, num timesteps 24300, FPS 65, mean/median reward 6.9/4.0, min/max reward -19.0/62.0, entropy 2.16958, value loss 2.96659, policy loss 0.16833, distill_loss -0.79863, time 6.22442 min
Updates 90, num timesteps 27300, FPS 65, mean/median reward 8.1/6.0, min/max reward -19.0/62.0, entropy 2.19534, value loss 2.91862, policy loss -0.38196, distill_loss 0.04366, time 6.98099 min
Updates 100, num timesteps 30300, FPS 65, mean/median reward 5.9/0.0, min/max reward -19.0/62.0, entropy 2.18794, value loss 3.25789, policy loss -0.45519, distill_loss -0.42123, time 7.72187 min
Updates 110, num timesteps 33300, FPS 65, mean/median reward 1.8/-4.0, min/max reward -18.0/62.0, entropy 2.18732, value loss 3.39272, policy loss -0.07737, distill_loss -0.03543, time 8.48651 min
Updates 120, num timesteps 36300, FPS 65, mean/median reward -1.2/-5.0, min/max reward -20.0/79.0, entropy 2.19514, value loss 5.83116, policy loss -0.82468, distill_loss -0.37991, time 9.24787 min
Updates 130, num timesteps 39300, FPS 65, mean/median reward -0.8/-5.0, min/max reward -20.0/79.0, entropy 2.19481, value loss 3.08423, policy loss -0.26631, distill_loss -0.53416, time 10.00564 min
Updates 140, num timesteps 42300, FPS 65, mean/median reward -1.7/-7.0, min/max reward -20.0/79.0, entropy 2.19517, value loss 2.72053, policy loss 0.03394, distill_loss -0.45420, time 10.76533 min
Updates 150, num timesteps 45300, FPS 65, mean/median reward -3.2/-7.0, min/max reward -20.0/79.0, entropy 2.19412, value loss 2.26216, policy loss -0.08358, distill_loss -0.39405, time 11.50064 min
Updates 160, num timesteps 48300, FPS 65, mean/median reward -5.6/-9.0, min/max reward -20.0/79.0, entropy 2.19341, value loss 6.15491, policy loss -0.89319, distill_loss -0.27669, time 12.25027 min
Updates 170, num timesteps 51300, FPS 65, mean/median reward -4.0/-8.0, min/max reward -20.0/79.0, entropy 2.19525, value loss 4.60372, policy loss -0.65124, distill_loss -0.24126, time 13.00363 min
Updates 180, num timesteps 54300, FPS 65, mean/median reward -5.7/-8.0, min/max reward -20.0/47.0, entropy 2.19657, value loss 10.39520, policy loss -1.58414, distill_loss -0.19120, time 13.77166 min
Updates 190, num timesteps 57300, FPS 65, mean/median reward -5.1/-8.0, min/max reward -19.0/47.0, entropy 2.19618, value loss 4.60402, policy loss -0.54747, distill_loss -0.19026, time 14.51339 min
Updates 200, num timesteps 60300, FPS 65, mean/median reward -4.8/-7.0, min/max reward -20.0/47.0, entropy 2.19539, value loss 5.92719, policy loss -0.65259, distill_loss -0.19676, time 15.27248 min
Updates 210, num timesteps 63300, FPS 65, mean/median reward -5.3/-7.0, min/max reward -20.0/47.0, entropy 2.19316, value loss 2.05140, policy loss 0.33550, distill_loss -0.18349, time 16.03662 min
Updates 220, num timesteps 66300, FPS 65, mean/median reward -6.6/-9.0, min/max reward -20.0/47.0, entropy 2.19297, value loss 5.75386, policy loss -0.71871, distill_loss -0.16310, time 16.79365 min
Updates 230, num timesteps 69300, FPS 65, mean/median reward -8.7/-10.0, min/max reward -20.0/7.0, entropy 2.19125, value loss 1.96851, policy loss 0.19454, distill_loss -0.16826, time 17.54579 min
Updates 240, num timesteps 72300, FPS 65, mean/median reward -7.6/-10.0, min/max reward -15.0/11.0, entropy 2.18937, value loss 0.54554, policy loss 0.88076, distill_loss -0.20758, time 18.29056 min
Updates 250, num timesteps 75300, FPS 65, mean/median reward -5.5/-10.0, min/max reward -15.0/33.0, entropy 2.19155, value loss 2.93738, policy loss 0.11399, distill_loss -0.19662, time 19.05175 min
Updates 260, num timesteps 78300, FPS 65, mean/median reward -6.0/-9.0, min/max reward -18.0/33.0, entropy 2.18747, value loss 5.85666, policy loss 0.12455, distill_loss -0.19430, time 19.79923 min
Updates 270, num timesteps 81300, FPS 65, mean/median reward -6.2/-9.0, min/max reward -18.0/33.0, entropy 2.18949, value loss 3.87890, policy loss -0.15549, distill_loss -0.20201, time 20.55432 min
Updates 280, num timesteps 84300, FPS 65, mean/median reward -5.9/-8.0, min/max reward -18.0/33.0, entropy 2.18662, value loss 4.98409, policy loss -0.55980, distill_loss -0.21202, time 21.30046 min
Updates 290, num timesteps 87300, FPS 65, mean/median reward -5.3/-7.0, min/max reward -18.0/33.0, entropy 2.18503, value loss 11.69729, policy loss 0.23067, distill_loss -0.23711, time 22.05237 min
