command line args: main.py --algo i2a --env-name MsPacmanNoFrameskip-v0 --num-processes 100 --port 5555 --log-dir /tmp/gym/MsPacman_dSSM_DET --num-steps 10 --entropy-coef 0.02 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model dSSM_DET
Updates 0, num timesteps 1000, FPS 128, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00074, policy loss -0.00386, distill_loss -0.00363, time 0.13011 min
Updates 10, num timesteps 11000, FPS 127, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.74304, value loss 2.61540, policy loss 0.25600, distill_loss -1.80867, time 1.44025 min
Updates 20, num timesteps 21000, FPS 126, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.09884, value loss 1.27851, policy loss 0.35063, distill_loss -0.71038, time 2.76300 min
Updates 30, num timesteps 31000, FPS 125, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.65694, value loss 9.36810, policy loss -0.27575, distill_loss -1.80266, time 4.11951 min
Updates 40, num timesteps 41000, FPS 126, mean/median reward -0.6/0.0, min/max reward -15.0/14.0, entropy 1.36483, value loss 32.59983, policy loss -0.19066, distill_loss 1.42987, time 5.41424 min
Updates 50, num timesteps 51000, FPS 126, mean/median reward -0.6/0.0, min/max reward -18.0/37.0, entropy 1.57128, value loss 13.86898, policy loss -0.25629, distill_loss 0.82076, time 6.71538 min
Updates 60, num timesteps 61000, FPS 126, mean/median reward 3.6/0.0, min/max reward -18.0/58.0, entropy 1.88831, value loss 17.18176, policy loss -0.34382, distill_loss 0.09054, time 8.01855 min
Updates 70, num timesteps 71000, FPS 126, mean/median reward 12.1/2.0, min/max reward -18.0/144.0, entropy 2.11728, value loss 5.57387, policy loss -0.12958, distill_loss 0.12782, time 9.31938 min
Updates 80, num timesteps 81000, FPS 126, mean/median reward 16.6/10.0, min/max reward -18.0/144.0, entropy 1.94130, value loss 3.66899, policy loss 0.72690, distill_loss 2.17660, time 10.63645 min
Updates 90, num timesteps 91000, FPS 126, mean/median reward 19.3/11.0, min/max reward -18.0/161.0, entropy 1.79098, value loss 7.21990, policy loss 0.17264, distill_loss 2.51979, time 11.95991 min
Updates 100, num timesteps 101000, FPS 126, mean/median reward 18.8/11.0, min/max reward -18.0/161.0, entropy 1.63002, value loss 18.95316, policy loss 0.67502, distill_loss 2.92202, time 13.27048 min
Updates 110, num timesteps 111000, FPS 126, mean/median reward 19.5/14.0, min/max reward -18.0/161.0, entropy 1.23575, value loss 7.69866, policy loss -0.47632, distill_loss 4.41529, time 14.60204 min
Updates 120, num timesteps 121000, FPS 126, mean/median reward 17.7/14.0, min/max reward -18.0/161.0, entropy 1.44670, value loss 5.19385, policy loss -0.40515, distill_loss 3.70770, time 15.89913 min
Updates 130, num timesteps 131000, FPS 126, mean/median reward 19.4/11.0, min/max reward -18.0/161.0, entropy 1.80323, value loss 7.27520, policy loss -0.07759, distill_loss 1.90031, time 17.19404 min
Updates 140, num timesteps 141000, FPS 127, mean/median reward 20.5/13.0, min/max reward -18.0/161.0, entropy 1.88740, value loss 2.23745, policy loss -0.06074, distill_loss 1.78692, time 18.49418 min
Updates 150, num timesteps 151000, FPS 127, mean/median reward 16.6/10.0, min/max reward -18.0/133.0, entropy 1.93903, value loss 2.65606, policy loss 0.07415, distill_loss 1.79302, time 19.79599 min
Updates 160, num timesteps 161000, FPS 127, mean/median reward 16.3/10.0, min/max reward -19.0/133.0, entropy 1.91601, value loss 2.47985, policy loss 0.15146, distill_loss 1.31026, time 21.07460 min
Updates 170, num timesteps 171000, FPS 127, mean/median reward 18.7/12.0, min/max reward -19.0/146.0, entropy 2.00264, value loss 18.83298, policy loss 0.22762, distill_loss 1.25513, time 22.36710 min
Updates 180, num timesteps 181000, FPS 127, mean/median reward 16.3/10.0, min/max reward -19.0/146.0, entropy 1.76386, value loss 3.95795, policy loss 0.36489, distill_loss 3.30898, time 23.66338 min
Updates 190, num timesteps 191000, FPS 127, mean/median reward 13.7/7.0, min/max reward -21.0/146.0, entropy 1.61966, value loss 6.53100, policy loss -0.43343, distill_loss 4.22886, time 24.96942 min
Updates 200, num timesteps 201000, FPS 127, mean/median reward 14.6/10.0, min/max reward -21.0/146.0, entropy 1.74632, value loss 11.73503, policy loss -0.38354, distill_loss 3.25406, time 26.27946 min
Updates 210, num timesteps 211000, FPS 127, mean/median reward 16.5/8.0, min/max reward -21.0/146.0, entropy 1.68173, value loss 7.01095, policy loss 0.20210, distill_loss 3.19481, time 27.59920 min
Updates 220, num timesteps 221000, FPS 127, mean/median reward 15.9/14.0, min/max reward -21.0/146.0, entropy 1.69315, value loss 7.39850, policy loss -0.11646, distill_loss 3.34676, time 28.91043 min
