command line args: main.py --algo i2a --env MsPacmanNoFrameskip-v0 --num-processes 64 --port 5555 --log-dir /tmp/gym/MsPacman_sSSM --num-steps 10 --entropy-coef 0.01 --distill-coef 10 --num-stack 4 --num-frames 300000000 --train-on-200x160-pixel --latent-space-model sSSM
Updates 0, num timesteps 640, FPS 30, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00444, policy loss 0.01705, distill_loss 0.00080, time 0.34983 min
Updates 10, num timesteps 7040, FPS 49, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19717, value loss 0.00000, policy loss -0.00059, distill_loss 0.00784, time 2.34925 min
Updates 20, num timesteps 13440, FPS 55, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19718, value loss 0.00000, policy loss -0.00038, distill_loss 0.00289, time 4.06593 min
Updates 30, num timesteps 19840, FPS 54, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.74591, value loss 0.11732, policy loss -0.00334, distill_loss 9.20316, time 6.03355 min
Updates 40, num timesteps 26240, FPS 52, mean/median reward 0.0/0.0, min/max reward 0.0/2.0, entropy 0.52520, value loss 0.30708, policy loss 0.01704, distill_loss 14.22359, time 8.31991 min
Updates 50, num timesteps 32640, FPS 53, mean/median reward 0.1/0.0, min/max reward 0.0/3.0, entropy 1.82136, value loss 0.05394, policy loss -0.09127, distill_loss 5.61557, time 10.09759 min
Updates 60, num timesteps 39040, FPS 54, mean/median reward 1.0/0.0, min/max reward 0.0/13.0, entropy 2.06123, value loss 0.05827, policy loss -0.06724, distill_loss 3.15935, time 11.94224 min
Updates 70, num timesteps 45440, FPS 53, mean/median reward 8.0/10.0, min/max reward 0.0/14.0, entropy 2.19638, value loss 0.01170, policy loss 0.01524, distill_loss 0.17538, time 14.07207 min
Updates 80, num timesteps 51840, FPS 54, mean/median reward 10.8/11.0, min/max reward 0.0/16.0, entropy 2.10753, value loss 0.05057, policy loss 0.02587, distill_loss 2.37793, time 15.99286 min
Updates 90, num timesteps 58240, FPS 54, mean/median reward 10.6/11.0, min/max reward 0.0/16.0, entropy 2.10049, value loss 0.06666, policy loss -0.01988, distill_loss 2.36309, time 17.95615 min
Updates 100, num timesteps 64640, FPS 54, mean/median reward 10.3/11.0, min/max reward 0.0/16.0, entropy 2.13932, value loss 0.06126, policy loss -0.04069, distill_loss 0.96056, time 19.77892 min
