command line args: main.py --env-name RegularMiniPacmanNoFrameskip-v0 --algo i2a --environment-model MiniModel --distill-coef 10 --entropy-coef 0.02 --num-stack 1 --num-processes 128 --port 5027
Updates 0, num timesteps 640, FPS 100, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.60800, value loss 2.21387, policy loss 1.83457, distill_loss -0.04561, time 0.10619 min
Updates 10, num timesteps 7040, FPS 323, mean/median reward 5.9/6.0, min/max reward 0.0/22.0, entropy 0.77146, value loss 3.13243, policy loss 0.06264, distill_loss -0.29262, time 0.36277 min
Updates 20, num timesteps 13440, FPS 371, mean/median reward 8.4/5.0, min/max reward 0.0/28.0, entropy 1.14430, value loss 1.71953, policy loss 0.57886, distill_loss -1.43038, time 0.60291 min
Updates 30, num timesteps 19840, FPS 377, mean/median reward 9.8/8.0, min/max reward 0.0/35.0, entropy 0.47781, value loss 3.43786, policy loss 0.01422, distill_loss -5.21978, time 0.87532 min
Updates 40, num timesteps 26240, FPS 371, mean/median reward 7.7/6.0, min/max reward 0.0/27.0, entropy 0.74812, value loss 2.85223, policy loss 0.12679, distill_loss -3.72705, time 1.17771 min
Updates 50, num timesteps 32640, FPS 395, mean/median reward 8.3/8.0, min/max reward 0.0/23.0, entropy 0.64679, value loss 2.54433, policy loss 0.13050, distill_loss -3.00455, time 1.37669 min
Updates 60, num timesteps 39040, FPS 388, mean/median reward 8.7/8.0, min/max reward 0.0/23.0, entropy 0.70746, value loss 3.46233, policy loss -0.21042, distill_loss -4.35473, time 1.67618 min
Updates 70, num timesteps 45440, FPS 365, mean/median reward 9.5/9.0, min/max reward 0.0/28.0, entropy 1.08634, value loss 1.66225, policy loss 0.32177, distill_loss -2.23040, time 2.07368 min
Updates 80, num timesteps 51840, FPS 355, mean/median reward 9.2/9.0, min/max reward 0.0/31.0, entropy 1.29040, value loss 1.03411, policy loss 0.48372, distill_loss -2.42538, time 2.42701 min
Updates 90, num timesteps 58240, FPS 375, mean/median reward 9.7/8.0, min/max reward 0.0/46.0, entropy 1.22905, value loss 1.82734, policy loss 0.50937, distill_loss -4.20781, time 2.58840 min
Updates 100, num timesteps 64640, FPS 322, mean/median reward 11.5/9.0, min/max reward 0.0/40.0, entropy 0.32228, value loss 12.11979, policy loss 0.01880, distill_loss -19.15732, time 3.34067 min
Updates 110, num timesteps 71040, FPS 328, mean/median reward 11.1/9.0, min/max reward 0.0/44.0, entropy 0.57079, value loss 5.20625, policy loss -0.20981, distill_loss -9.23086, time 3.60968 min
Updates 120, num timesteps 77440, FPS 340, mean/median reward 11.7/10.0, min/max reward 0.0/48.0, entropy 0.89787, value loss 4.40365, policy loss 0.05498, distill_loss -9.01086, time 3.78834 min
Updates 130, num timesteps 83840, FPS 345, mean/median reward 8.6/7.0, min/max reward 0.0/40.0, entropy 0.88679, value loss 1.46819, policy loss 0.27296, distill_loss -6.32525, time 4.04093 min
Updates 140, num timesteps 90240, FPS 354, mean/median reward 9.8/8.0, min/max reward 0.0/40.0, entropy 0.79224, value loss 10.19060, policy loss -0.59354, distill_loss -12.31222, time 4.24532 min
Updates 150, num timesteps 96640, FPS 350, mean/median reward 10.8/9.0, min/max reward 0.0/40.0, entropy 0.92421, value loss 4.16227, policy loss -0.12758, distill_loss -11.44547, time 4.59480 min
Updates 160, num timesteps 103040, FPS 360, mean/median reward 11.1/10.0, min/max reward 0.0/40.0, entropy 0.76271, value loss 2.69468, policy loss -0.19381, distill_loss -8.55064, time 4.76786 min
Updates 170, num timesteps 109440, FPS 360, mean/median reward 10.2/9.0, min/max reward 0.0/40.0, entropy 0.83272, value loss 3.28414, policy loss -0.23115, distill_loss -9.32457, time 5.06054 min
Updates 180, num timesteps 115840, FPS 352, mean/median reward 8.5/8.0, min/max reward 0.0/40.0, entropy 0.87550, value loss 2.80397, policy loss -0.06568, distill_loss -7.82379, time 5.48174 min
Updates 190, num timesteps 122240, FPS 354, mean/median reward 8.6/8.0, min/max reward 0.0/40.0, entropy 0.89131, value loss 1.75400, policy loss 0.10834, distill_loss -5.42579, time 5.75422 min
